City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
177,Kurdzhinovo,RU,2022-01-23 23:01:43,43.9884,40.9552,31.06,95,85,3.13
178,Wewak,PG,2022-01-23 23:01:43,-3.5534,143.6268,80.58,82,100,2.48
179,Verkhnyaya Inta,RU,2022-01-23 23:01:43,65.9811,60.3094,7.66,92,44,8.55
180,Bredasdorp,ZA,2022-01-23 23:01:44,-34.5322,20.0403,67.28,85,44,9.46
181,Kamenka,RU,2022-01-23 23:02:44,51.3223,42.7678,18.75,93,100,13.42
182,Guanica,PR,2022-01-23 23:02:44,17.9716,-66.908,79.97,74,5,3.0
183,Gumdag,TM,2022-01-23 23:02:45,39.2061,54.5906,36.73,60,0,19.82
184,Prabumulih,ID,2022-01-23 23:02:45,-3.45,104.25,73.65,98,100,2.28
185,Rocha,UY,2022-01-23 23:02:45,-34.4833,-54.3333,72.88,92,99,4.65
186,Virginia Beach,US,2022-01-23 23:02:46,36.8529,-75.978,40.1,66,0,5.75
187,Yulara,AU,2022-01-23 23:02:46,-25.2406,130.9889,80.56,41,0,10.29
188,Garowe,SO,2022-01-23 23:02:46,8.4054,48.4845,66.06,76,81,11.41
189,Turukhansk,RU,2022-01-23 23:02:46,65.8167,87.9833,-2.25,100,100,1.92
190,Seoul,KR,2022-01-23 23:01:42,37.5683,126.9778,33.19,77,12,3.51
191,Hilo,US,2022-01-23 22:58:48,19.7297,-155.09,79.25,81,31,4.0
192,Iqaluit,CA,2022-01-23 23:02:47,63.7506,-68.5145,-16.67,93,100,2.44
193,Linhares,BR,2022-01-23 22:58:05,-19.3911,-40.0722,73.36,88,40,3.78
194,Talcahuano,CL,2022-01-23 23:00:15,-36.7167,-73.1167,61.81,80,0,15.08
195,Tokur,RU,2022-01-23 23:02:47,53.1333,132.9,-27.35,100,95,2.46
196,Lavrentiya,RU,2022-01-23 23:02:47,65.5833,-171.0,6.69,96,100,6.17
197,Saint-Augustin,CA,2022-01-23 23:02:48,51.226,-58.6502,4.41,99,97,1.05
198,La Ronge,CA,2022-01-23 23:00:22,55.1001,-105.2842,0.79,96,100,4.38
199,Lasa,IT,2022-01-23 23:02:48,46.6166,10.7002,32.36,61,2,5.59
200,Saint Peter,BB,2022-01-23 23:02:48,13.25,-59.6167,75.58,71,6,12.91
201,Sola,VU,2022-01-23 23:02:48,-13.8833,167.55,84.15,74,95,13.71
202,Aklavik,CA,2022-01-23 23:02:49,68.2191,-135.0107,2.57,97,97,5.99
203,Upata,VE,2022-01-23 23:02:49,8.0086,-62.3989,80.19,56,10,4.9
204,Hervey Bay,AU,2022-01-23 23:02:49,-25.2986,152.8535,80.04,76,90,5.01
205,Nelson Bay,AU,2022-01-23 23:02:49,-32.7167,152.15,75.0,83,70,1.99
206,Mekhe,SN,2022-01-23 23:02:50,15.1097,-16.6218,82.96,9,91,14.36
207,Ucluelet,CA,2022-01-23 23:02:50,48.9329,-125.5528,46.09,89,76,1.99
208,Caravelas,BR,2022-01-23 23:02:50,-17.7125,-39.2481,76.03,82,41,4.38
209,Del Rio,US,2022-01-23 23:02:51,29.3627,-100.8968,57.31,41,100,10.36
210,Chivay,PE,2022-01-23 23:02:51,-15.6383,-71.6011,49.64,81,99,10.94
211,Changji,CN,2022-01-23 23:02:51,44.0167,87.3167,14.79,85,100,4.47
212,Katsuura,JP,2022-01-23 23:02:51,35.1333,140.3,46.18,82,100,17.52
213,Saldanha,ZA,2022-01-23 23:02:52,-33.0117,17.9442,65.91,96,58,12.84
214,Puerto Ayora,EC,2022-01-23 23:02:52,-0.7393,-90.3518,74.84,85,100,9.01
215,Sucua,EC,2022-01-23 23:02:52,-2.4667,-78.1667,73.4,95,80,0.6
216,Berlevag,NO,2022-01-23 23:02:52,70.8578,29.0864,40.95,65,0,48.34
217,Zabaykalsk,RU,2022-01-23 23:02:53,49.6333,117.3167,-3.26,99,100,1.66
218,Esperance,AU,2022-01-23 23:02:53,-33.8667,121.9,64.24,84,87,14.2
